# r(Angstrom) g(r)
4.056104000000000376e+00 1.126607956186588710e+00
4.086147999999999669e+00 1.128731732501592422e+00
4.116194000000000131e+00 1.132844359909969789e+00
4.146238000000000312e+00 1.137774388695416139e+00
4.176283999999999885e+00 1.142433225280167441e+00
4.206328000000000067e+00 1.145917090489940948e+00
4.236373999999999640e+00 1.147569741591503600e+00
4.266417999999999822e+00 1.147001696610585375e+00
4.296464000000000283e+00 1.144067101940179132e+00
4.326508999999999716e+00 1.138812410336626613e+00
4.356554000000000038e+00 1.131402177395974373e+00
4.386599000000000359e+00 1.122044859991990329e+00
4.416643999999999792e+00 1.110935234902826751e+00
4.446689000000000114e+00 1.098212220141395079e+00
4.476734000000000435e+00 1.083951532323516487e+00
4.506778999999999868e+00 1.068184360694721891e+00
4.536824000000000190e+00 1.050932839495432480e+00
4.566868999999999623e+00 1.032261114816028336e+00
4.596913999999999945e+00 1.012315432735626519e+00
4.626959000000000266e+00 9.913573573682586959e-01
4.657003999999999699e+00 9.697680673996957879e-01
4.687049000000000021e+00 9.480346707853963828e-01
4.717094000000000342e+00 9.267055934002219608e-01
4.747138999999999776e+00 9.063397975395925954e-01
4.777184000000000097e+00 8.874443436534061869e-01
4.807229000000000418e+00 8.704261467741551961e-01
4.837274999999999991e+00 8.555504350314593331e-01
4.867319000000000173e+00 8.429358913226125960e-01
4.897364999999999746e+00 8.325612831308226713e-01
4.927408999999999928e+00 8.243067490173352496e-01
4.957455000000000389e+00 8.179997167237549327e-01
4.987498999999999683e+00 8.134701132227781795e-01
5.017545000000000144e+00 8.105970661525119247e-01
5.047589000000000325e+00 8.093389729506026420e-01
5.077634999999999899e+00 8.097418064460084608e-01
5.107679000000000080e+00 8.119244057104859635e-01
5.137724999999999653e+00 8.160400303784849374e-01
5.167768999999999835e+00 8.222270599659939894e-01
5.197815000000000296e+00 8.305548025949244240e-01
5.227858999999999590e+00 8.409773847924444379e-01
5.257905000000000051e+00 8.533015054832095991e-01
5.287950000000000372e+00 8.671756639629535357e-01
5.317994999999999806e+00 8.821123266554818931e-01
5.348040000000000127e+00 8.975182361461787606e-01
5.378084999999999560e+00 9.127567630619687344e-01
5.408131000000000022e+00 9.272047120932447317e-01
5.438175000000000203e+00 9.403185459539223912e-01
5.468220999999999776e+00 9.516839022855754227e-01
5.498264999999999958e+00 9.610488750312194961e-01
5.528311000000000419e+00 9.683405509601559213e-01
5.558354999999999713e+00 9.736547410564045935e-01
5.588401000000000174e+00 9.772343205497164842e-01
5.618445000000000356e+00 9.794300647896839740e-01
5.648490999999999929e+00 9.806587172369642946e-01
5.678535000000000110e+00 9.813593133991435069e-01
5.708580999999999683e+00 9.819558221089010885e-01
5.738626000000000005e+00 9.828259892084314497e-01
5.768671000000000326e+00 9.842799264795705216e-01
5.798715999999999759e+00 9.865499881041818186e-01
5.828761000000000081e+00 9.897816536105321639e-01
5.858806000000000402e+00 9.940337431884589403e-01
5.888850999999999836e+00 9.992811288656037183e-01
5.918896000000000157e+00 1.005415205327218287e+00
5.948940999999999590e+00 1.012254750604400177e+00
5.978985999999999912e+00 1.019552351427596371e+00
6.009031000000000233e+00 1.027011753383140436e+00
6.039075999999999667e+00 1.034308109440933876e+00
6.069120999999999988e+00 1.041116530159343911e+00
6.099166000000000309e+00 1.047140756510485327e+00
6.129210999999999743e+00 1.052147881767995896e+00
6.159256000000000064e+00 1.055994081852531297e+00
6.189301000000000386e+00 1.058643723182664864e+00
6.219345999999999819e+00 1.060178438788123012e+00
6.249392000000000280e+00 1.060785338981280690e+00
6.279435999999999574e+00 1.060734041019434581e+00
6.309482000000000035e+00 1.060335048878670028e+00
6.339526000000000217e+00 1.059897085881382095e+00
6.369571999999999790e+00 1.059677474081577975e+00
6.399615999999999971e+00 1.059839892966238706e+00
6.429662000000000432e+00 1.060429831407867507e+00
6.459705999999999726e+00 1.061364861540208260e+00
6.489752000000000187e+00 1.062448047872520673e+00
6.519796000000000369e+00 1.063401927305735573e+00
6.549841999999999942e+00 1.063914303139456008e+00
6.579886000000000124e+00 1.063692195520155037e+00
6.609931999999999697e+00 1.062514015164866432e+00
6.639977000000000018e+00 1.060267596656760070e+00
6.670022000000000340e+00 1.056968986235388819e+00
6.700066999999999773e+00 1.052764746727683942e+00
6.730112000000000094e+00 1.047902904995150486e+00
6.760157000000000416e+00 1.042693493302624175e+00
6.790201999999999849e+00 1.037456248531099856e+00
6.820247000000000170e+00 1.032466668791186315e+00
6.850291999999999604e+00 1.027916683816963772e+00
6.880336999999999925e+00 1.023886493859354374e+00
6.910382000000000247e+00 1.020343160030006802e+00
6.940427999999999820e+00 1.017160461729512244e+00
6.970472000000000001e+00 1.014156718803365997e+00
7.000517999999999574e+00 1.011144372129399338e+00
7.030561999999999756e+00 1.007980307575919943e+00
7.060608000000000217e+00 1.004607320561861972e+00
7.090652000000000399e+00 1.001076010060740318e+00
7.120697999999999972e+00 9.975475951888853610e-01
7.150743000000000293e+00 9.942659064879705300e-01
7.180787999999999727e+00 9.915184414308820804e-01
7.210833000000000048e+00 9.895763252359404127e-01
7.240878000000000370e+00 9.886401072747337260e-01
7.270922999999999803e+00 9.887909550746151188e-01
7.300968000000000124e+00 9.899626995553829634e-01
7.331012999999999558e+00 9.919392257376615785e-01
7.361057999999999879e+00 9.943814229463148191e-01
7.391103000000000200e+00 9.968728842618678199e-01
7.421147999999999634e+00 9.989868686887511950e-01
7.451192999999999955e+00 1.000351643278263536e+00
7.481238000000000277e+00 1.000713988109024344e+00
7.511282999999999710e+00 9.999789420122805472e-01
7.541328000000000031e+00 9.982248883615345569e-01
7.571373000000000353e+00 9.956879185627117712e-01
7.601417999999999786e+00 9.927202005862638678e-01
7.631463000000000108e+00 9.897261585794119298e-01
7.661508999999999681e+00 9.870920773002699322e-01
7.691552999999999862e+00 9.851200286904817638e-01
7.721599000000000323e+00 9.839743101536522207e-01
