# r(Angstrom)	g(r)	in_region	integrand
1.879999999999999893e+00 3.492514847720713522e-01 1.000000000000000000e+00 1.363492328316473934e+00
1.899999999999999911e+00 3.640897112270052860e-01 1.000000000000000000e+00 1.451825256977838263e+00
1.919999999999999929e+00 3.841176731113646881e-01 1.000000000000000000e+00 1.564103492820803742e+00
1.939999999999999947e+00 4.073810264231947365e-01 1.000000000000000000e+00 1.693569395845372361e+00
1.959999999999999964e+00 4.321941121973628119e-01 1.000000000000000000e+00 1.833959446051541153e+00
1.979999999999999982e+00 4.572745295356750450e-01 1.000000000000000000e+00 1.980186663439312600e+00
2.000000000000000000e+00 4.818320635490488391e-01 1.000000000000000000e+00 2.128895908008685112e+00
2.020000000000000018e+00 5.056160280873667201e-01 1.000000000000000000e+00 2.278884479759659687e+00
2.040000000000000036e+00 5.289092322905681876e-01 1.000000000000000000e+00 2.431309358692235634e+00
2.060000000000000053e+00 5.524730774180030002e-01 1.000000000000000000e+00 2.589669244806413584e+00
2.080000000000000071e+00 5.774544724996932832e-01 1.000000000000000000e+00 2.759581078102194773e+00
2.100000000000000089e+00 6.052493543509178675e-01 1.000000000000000000e+00 2.948299938579575841e+00
2.120000000000000107e+00 6.373487376921110892e-01 1.000000000000000000e+00 3.164080986238559490e+00
2.140000000000000124e+00 6.751701304479693633e-01 1.000000000000000000e+00 3.415383741079143221e+00
2.160000000000000142e+00 7.198932853176082114e-01 1.000000000000000000e+00 3.710003883101330668e+00
2.180000000000000160e+00 7.723078995278009895e-01 1.000000000000000000e+00 4.054172312305118986e+00
2.200000000000000178e+00 8.326926663361904346e-01 1.000000000000000000e+00 4.451730248690509484e+00
2.220000000000000195e+00 9.007326727690858625e-01 1.000000000000000000e+00 4.903437052257501705e+00
2.240000000000000213e+00 9.754767885533811578e-01 1.000000000000000000e+00 5.406444083006095802e+00
2.259999999999999787e+00 1.055349793993165086e+00 1.000000000000000000e+00 5.954044100936287442e+00
2.279999999999999805e+00 1.138208738378645446e+00 1.000000000000000000e+00 6.535673506048085279e+00
2.299999999999999822e+00 1.221447134499994869e+00 1.000000000000000000e+00 7.137220038341484774e+00
2.319999999999999840e+00 1.302135517690459654e+00 1.000000000000000000e+00 7.741602957816485109e+00
2.339999999999999858e+00 1.377191551085594545e+00 1.000000000000000000e+00 8.329612604473089377e+00
2.359999999999999876e+00 1.443566799683944524e+00 1.000000000000000000e+00 8.880954198311291847e+00
2.379999999999999893e+00 1.498435498802402233e+00 1.000000000000000000e+00 9.375419439331098559e+00
2.399999999999999911e+00 1.539376147404344142e+00 1.000000000000000000e+00 9.794132507532504306e+00
2.419999999999999929e+00 1.564528384665530236e+00 1.000000000000000000e+00 1.012075514291551670e+01
2.439999999999999947e+00 1.572716179055035024e+00 1.000000000000000000e+00 1.034257660548012581e+01
2.459999999999999964e+00 1.563533358856574740e+00 1.000000000000000000e+00 1.045143935522633960e+01
2.479999999999999982e+00 1.537378278014532640e+00 1.000000000000000000e+00 1.044438425215415300e+01
2.500000000000000000e+00 1.495437930835497031e+00 1.000000000000000000e+00 1.032397985626356984e+01
2.520000000000000018e+00 1.439626838715049928e+00 1.000000000000000000e+00 1.009833456755458947e+01
2.540000000000000036e+00 1.372482132496823048e+00 1.000000000000000000e+00 9.780766066027208439e+00
2.560000000000000053e+00 1.297017579655109554e+00 1.000000000000000000e+00 9.389112271681431920e+00
2.580000000000000071e+00 1.216557381723651687e+00 1.000000000000000000e+00 8.944802364517254745e+00
2.600000000000000089e+00 1.134549786667099491e+00 1.000000000000000000e+00 8.471669284534678823e+00
2.620000000000000107e+00 1.054379562933866143e+00 1.000000000000000000e+00 7.994628751733705130e+00
2.640000000000000124e+00 9.791893403392397666e-01 1.000000000000000000e+00 7.538297446114333056e+00
2.660000000000000142e+00 9.117195614593410768e-01 1.000000000000000000e+00 7.125630287676563590e+00
2.680000000000000160e+00 8.541792457519961079e-01 1.000000000000000000e+00 6.776685676420396653e+00
2.700000000000000178e+00 8.081520041623728723e-01 1.000000000000000000e+00 6.507577092345830039e+00
2.720000000000000195e+00 7.745458078152037684e-01 1.000000000000000000e+00 6.329707695452865934e+00
2.740000000000000213e+00 7.535783278373598959e-01 1.000000000000000000e+00 6.249255265741502363e+00
2.759999999999999787e+00 7.448127706843179485e-01 1.000000000000000000e+00 6.267062383211738030e+00
2.779999999999999805e+00 7.472240807135313023e-01 0.000000000000000000e+00 6.378803007863578678e+00
2.799999999999999822e+00 7.592975482496531203e-01 0.000000000000000000e+00 6.575469979697021294e+00
2.819999999999999840e+00 7.791533988358794183e-01 0.000000000000000000e+00 6.844156398712065048e+00
2.839999999999999858e+00 8.046804629816829424e-01 0.000000000000000000e+00 7.169004884908711794e+00
2.859999999999999876e+00 8.336768991829481834e-01 0.000000000000000000e+00 7.532316718286958590e+00
2.879999999999999893e+00 8.639863108693534022e-01 0.000000000000000000e+00 7.915722778846808971e+00
2.899999999999999911e+00 8.936173046719614321e-01 0.000000000000000000e+00 8.301303746588260424e+00
2.919999999999999929e+00 9.208463537988685887e-01 0.000000000000000000e+00 8.672645901511311095e+00
2.939999999999999947e+00 9.442942918472732039e-01 0.000000000000000000e+00 9.015727243615966557e+00
2.959999999999999964e+00 9.629712613953018696e-01 0.000000000000000000e+00 9.319561692902224692e+00
2.979999999999999982e+00 9.762991943153175312e-01 0.000000000000000000e+00 9.576662849370082498e+00
3.000000000000000000e+00 9.841004996460320786e-01 0.000000000000000000e+00 9.783194793019541535e+00
3.020000000000000018e+00 9.865647178847641863e-01 0.000000000000000000e+00 9.938897343850602084e+00
3.040000000000000036e+00 9.841965388205466958e-01 0.000000000000000000e+00 1.004679960186326682e+01
3.060000000000000053e+00 9.777457397009146067e-01 0.000000000000000000e+00 1.011270932705753012e+01
3.080000000000000071e+00 9.681336804562784559e-01 0.000000000000000000e+00 1.014461339943339802e+01
3.100000000000000089e+00 9.563741751645203903e-01 0.000000000000000000e+00 1.015196161899086746e+01
3.120000000000000107e+00 9.434994380834724748e-01 0.000000000000000000e+00 1.014494210572993715e+01
3.140000000000000124e+00 9.304954910831284565e-01 0.000000000000000000e+00 1.013379951965060854e+01
3.160000000000000142e+00 9.182486187534049105e-01 0.000000000000000000e+00 1.012822144075288300e+01
3.180000000000000160e+00 9.075066551807623449e-01 0.000000000000000000e+00 1.013684480903675755e+01
3.200000000000000178e+00 8.988564338917797159e-01 0.000000000000000000e+00 1.016691112450223677e+01
