# r(Angstrom)	g(r)	in_region	integrand
2.720000000000000195e+00 8.352374857992277413e-01 1.000000000000000000e+00 8.417573780695001062e+00
2.740000000000000213e+00 8.195360546256168499e-01 1.000000000000000000e+00 8.381241148240940575e+00
2.759999999999999787e+00 8.131896087424610453e-01 1.000000000000000000e+00 8.438186711446558519e+00
2.779999999999999805e+00 8.152214659779316586e-01 0.000000000000000000e+00 8.582312910311854282e+00
2.799999999999999822e+00 8.243427993499700124e-01 0.000000000000000000e+00 8.803655864836827050e+00
2.819999999999999840e+00 8.390522156891593308e-01 0.000000000000000000e+00 9.089214475021478279e+00
2.839999999999999858e+00 8.577386229028729492e-01 0.000000000000000000e+00 9.423902680865804626e+00
2.859999999999999876e+00 8.787802944937339600e-01 0.000000000000000000e+00 9.791551722369810307e+00
2.879999999999999893e+00 9.006354731044684536e-01 0.000000000000000000e+00 1.017590795953349314e+01
2.899999999999999911e+00 9.219168210311478040e-01 0.000000000000000000e+00 1.056153107235685340e+01
2.919999999999999929e+00 9.414497379431338020e-01 0.000000000000000000e+00 1.093457702083988714e+01
2.939999999999999947e+00 9.583115685812647611e-01 0.000000000000000000e+00 1.128341438498260274e+01
2.959999999999999964e+00 9.718476440872295674e-01 0.000000000000000000e+00 1.159900550478499248e+01
2.979999999999999982e+00 9.816743600996091779e-01 0.000000000000000000e+00 1.187515050024706298e+01
3.000000000000000000e+00 9.876618213627975651e-01 0.000000000000000000e+00 1.210848817136880839e+01
3.020000000000000018e+00 9.899055079882927988e-01 0.000000000000000000e+00 1.229834785815023146e+01
3.040000000000000036e+00 9.886879519169426977e-01 0.000000000000000000e+00 1.244645162059133092e+01
3.060000000000000053e+00 9.844375979737535198e-01 0.000000000000000000e+00 1.255654597869210853e+01
3.080000000000000071e+00 9.776842624465890141e-01 0.000000000000000000e+00 1.263395145245256401e+01
3.100000000000000089e+00 9.690184471346126038e-01 0.000000000000000000e+00 1.268511996187269553e+01
3.120000000000000107e+00 9.590550417391583427e-01 0.000000000000000000e+00 1.271721070695250333e+01
3.140000000000000124e+00 9.484033230740082088e-01 0.000000000000000000e+00 1.273771446769198867e+01
3.160000000000000142e+00 9.376450629403046966e-01 0.000000000000000000e+00 1.275415770409115446e+01
3.180000000000000160e+00 9.273203876808646662e-01 0.000000000000000000e+00 1.277389065614999453e+01
3.200000000000000178e+00 9.179187561856815281e-01 0.000000000000000000e+00 1.280393164386851268e+01
3.220000000000000195e+00 9.098766576818350105e-01 0.000000000000000000e+00 1.285089612724670616e+01
3.240000000000000213e+00 9.035781137145746378e-01 0.000000000000000000e+00 1.292096260628457927e+01
3.259999999999999787e+00 8.993562875854125283e-01 0.000000000000000000e+00 1.301985422098212730e+01
3.279999999999999805e+00 8.974952587222119194e-01 0.000000000000000000e+00 1.315282363133935384e+01
3.299999999999999822e+00 8.982299528672936795e-01 0.000000000000000000e+00 1.332461161735625588e+01
3.319999999999999840e+00 9.017432002636514010e-01 0.000000000000000000e+00 1.353936167903283838e+01
3.339999999999999858e+00 9.081598224293171429e-01 0.000000000000000000e+00 1.380048547636909717e+01
3.359999999999999876e+00 9.175383082986587890e-01 0.000000000000000000e+00 1.411048386936503007e+01
3.379999999999999893e+00 9.298603967714762497e-01 0.000000000000000000e+00 1.447072525802064291e+01
3.399999999999999911e+00 9.450197314494558354e-01 0.000000000000000000e+00 1.488119668233593451e+01
3.419999999999999929e+00 9.628126306672878387e-01 0.000000000000000000e+00 1.534027472231090172e+01
3.439999999999999947e+00 9.829323805583813911e-01 0.000000000000000000e+00 1.584454139794554806e+01
3.459999999999999964e+00 1.004964999071216392e+00 0.000000000000000000e+00 1.638861602923986993e+01
3.479999999999999982e+00 1.028396959310679426e+00 0.000000000000000000e+00 1.696517789619387173e+01
3.500000000000000000e+00 1.052623696807004405e+00 0.000000000000000000e+00 1.756500903880754549e+01
3.520000000000000018e+00 1.076970548548410234e+00 0.000000000000000000e+00 1.817725501708089553e+01
3.540000000000000036e+00 1.100716922351842486e+00 0.000000000000000000e+00 1.878976349101392884e+01
3.560000000000000053e+00 1.123128931010043852e+00 0.000000000000000000e+00 1.938959584060663488e+01
3.580000000000000071e+00 1.143494623610036287e+00 0.000000000000000000e+00 1.996362146585902053e+01
3.600000000000000089e+00 1.161161509102586642e+00 0.000000000000000000e+00 2.049919368677108622e+01
3.620000000000000107e+00 1.175573038789128555e+00 0.000000000000000000e+00 2.098485170334282301e+01
3.640000000000000124e+00 1.186302272661827084e+00 0.000000000000000000e+00 2.141101599557423896e+01
3.660000000000000142e+00 1.193077822908985119e+00 0.000000000000000000e+00 2.177058454346533622e+01
3.680000000000000160e+00 1.195802966848135140e+00 0.000000000000000000e+00 2.205943628701610493e+01
3.700000000000000178e+00 1.194563822765395855e+00 0.000000000000000000e+00 2.227675622622655993e+01
3.720000000000000195e+00 1.189626013565813878e+00 0.000000000000000000e+00 2.242515628109668313e+01
3.740000000000000213e+00 1.181420838030146747e+00 0.000000000000000000e+00 2.251059515162648950e+01
3.759999999999999787e+00 1.170520168900958335e+00 0.000000000000000000e+00 2.254206705781595943e+01
3.779999999999999805e+00 1.157602631620403333e+00 0.000000000000000000e+00 2.253109253966511716e+01
3.799999999999999822e+00 1.143412544079135174e+00 0.000000000000000000e+00 2.249102725717395401e+01
3.819999999999999840e+00 1.128715341834384045e+00 0.000000000000000000e+00 2.243625153034246722e+01
3.839999999999999858e+00 1.114251911023379282e+00 0.000000000000000000e+00 2.238128319917065312e+01
3.859999999999999876e+00 1.100694531162758061e+00 0.000000000000000000e+00 2.233986602365851937e+01
3.879999999999999893e+00 1.088609667442827389e+00 0.000000000000000000e+00 2.232414240380606429e+01
3.899999999999999911e+00 1.078428119570217891e+00 0.000000000000000000e+00 2.234393007961328692e+01
3.919999999999999929e+00 1.070424698971919497e+00 0.000000000000000000e+00 2.240615839108018292e+01
3.939999999999999947e+00 1.064710263267092838e+00 0.000000000000000000e+00 2.251453751820676175e+01
3.959999999999999964e+00 1.061235114989976802e+00 0.000000000000000000e+00 2.266945764099300575e+01
3.979999999999999982e+00 1.059803364816370719e+00 0.000000000000000000e+00 2.286812641943894420e+01
4.000000000000000000e+00 1.060097324953923836e+00 0.000000000000000000e+00 2.310494119354454767e+01
4.019999999999999574e+00 1.061709757243975760e+00 0.000000000000000000e+00 2.337206368330982542e+01
